City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
30,salina,38.8403,-97.6114,28.9,70,3,1.79,US,1722608180
31,papatowai,-46.5619,169.4708,3.75,91,0,1.97,NZ,1722608182
32,hermanus,-34.4187,19.2345,14.89,67,55,4.84,ZA,1722608183
33,envira,-7.3,-70.2167,25.12,74,100,1.05,BR,1722608184
34,codrington,-38.2667,141.9667,10.79,71,100,4.34,AU,1722608185
35,iskateley,67.6803,53.1512,18.12,64,23,8.22,RU,1722608186
36,kristiansund,63.1115,7.732,21.03,72,0,6.17,NO,1722608187
37,al kharj,24.155,47.3346,44.32,7,38,8.61,SA,1722608188
38,jumla,29.2747,82.1838,15.82,97,100,1.43,NP,1722608102
39,alotau,-10.3069,150.4462,22.23,95,100,2.37,PG,1722608191
40,blackmans bay,-43.0167,147.3167,10.07,80,100,3.8,AU,1722608192
41,hirara,24.8,125.2833,28.15,94,2,2.06,JP,1722608193
42,iqaluit,63.7506,-68.5145,6.85,65,75,2.57,CA,1722608194
43,palenque,17.5167,-91.9667,26.09,83,75,0.0,MX,1722608195
44,port-aux-francais,-49.35,70.2167,2.32,99,100,11.55,TF,1722608196
45,holualoa,19.6228,-155.9522,21.42,87,88,2.85,US,1722608172
46,howard springs,-12.497,131.047,23.95,87,5,1.42,AU,1722608198
47,port loko,8.7667,-12.7833,24.81,93,96,2.71,SL,1722608200
48,tiksi,71.6872,128.8694,4.08,71,82,0.98,RU,1722608201
49,hadibu,12.65,54.0333,27.46,66,93,10.79,YE,1722608202
50,tazovsky,67.4667,78.7,18.36,76,40,3.53,RU,1722608203
51,richards bay,-28.783,32.0377,22.5,66,46,4.11,ZA,1722608204
52,bomdila,27.25,92.4,11.23,99,99,0.22,IN,1722608205
53,wailua homesteads,22.0669,-159.378,21.44,83,75,2.57,US,1722608206
54,poronaysk,49.2167,143.1167,14.17,91,100,1.27,RU,1722608208
55,narang mandi,31.9132,74.5176,33.05,62,100,2.39,PK,1722608209
56,kodiak,57.79,-152.4072,6.73,93,0,3.09,US,1722607921
57,marsh harbour,26.5412,-77.0636,28.98,77,1,7.33,BS,1722608211
58,kokopo,-4.352,152.2633,25.23,88,65,5.69,PG,1722608212
59,egilsstadir,65.2653,-14.3948,10.95,82,100,4.12,IS,1722608213
60,hamilton,39.1834,-84.5333,24.59,92,100,4.12,US,1722607802
61,ilulissat,69.2167,-51.1,7.04,59,2,0.41,GL,1722608215
62,cabot,34.9745,-92.0165,30.93,68,0,4.12,US,1722608217
63,hasaki,35.7333,140.8333,25.22,83,6,1.77,JP,1722608218
64,saipan,15.1355,145.701,28.39,89,75,4.63,MP,1722608027
65,georgetown,5.4112,100.3354,29.97,68,20,3.6,MY,1722608111
66,krasnyy chikoy,50.3643,108.7512,16.35,98,100,0.77,RU,1722608221
67,onega,63.9061,38.1404,18.74,69,61,1.97,RU,1722608222
68,nako,31.8814,78.627,19.4,74,59,4.37,IN,1722608223
69,igarka,67.4667,86.5833,17.17,83,100,3.1,RU,1722608225
70,ranot,7.7777,100.3213,28.56,76,100,1.89,TH,1722608226
71,aars,56.804,9.5144,22.57,53,21,4.54,DK,1722608227
72,garden city,42.3256,-83.331,24.93,94,100,1.54,US,1722608228
73,carnarvon,-24.8667,113.6333,19.32,59,0,9.02,AU,1722608229
